From,Browser,Command,Device_Event,Email,File_Access,File_Add,File_Delete,File_Modify,Login,Login_Failed,Logout,Privilege_Command,Recon_Command,Suspicious_Command
Browser,0.457738,0.004214,0.075533,0.278295,0.118427,0.010349,0.001405,0.035261,0.001686,0.000375,0.009038,0.0,0.001733,0.005947
Command,0.018837,0.803478,0.006158,0.02083,0.009419,0.01286,0.001268,0.01286,0.012498,0.001811,0.006702,0.051621,0.019381,0.022279
Device_Event,0.364049,0.006128,0.11734,0.294144,0.164775,0.007263,0.000681,0.026555,0.001135,0.000227,0.006582,0.0,0.002497,0.008625
Email,0.327656,0.006428,0.073453,0.402758,0.154489,0.005329,0.001154,0.010603,0.001154,0.00022,0.003901,0.0,0.002252,0.010603
File_Access,0.329898,0.006131,0.087268,0.373728,0.159014,0.006653,0.000913,0.016958,0.000652,0.00013,0.004827,0.0,0.003,0.010827
File_Add,0.191038,0.071934,0.011792,0.100236,0.048349,0.10967,0.262972,0.108491,0.005896,0.002358,0.005896,0.007075,0.009434,0.064858
File_Delete,0.178947,0.016541,0.033083,0.051128,0.049624,0.076692,0.469173,0.099248,0.0,0.001504,0.022556,0.0,0.0,0.001504
File_Modify,0.245208,0.047923,0.044728,0.069489,0.034744,0.052316,0.008786,0.303514,0.023962,0.019968,0.129393,0.002396,0.002796,0.014776
Login,0.100165,0.019504,0.010579,0.028099,0.016529,0.018512,0.004628,0.057851,0.477686,0.0,0.266116,0.0,0.0,0.000331
Login_Failed,0.070796,0.070796,0.00885,0.035398,0.026549,0.017699,0.0,0.451327,0.035398,0.212389,0.00885,0.0,0.017699,0.044248
Logout,0.017717,0.007874,0.002953,0.00935,0.003445,0.001476,0.000492,0.026083,0.674213,0.002461,0.253937,0.0,0.0,0.0
Privilege_Command,0.0,0.859649,0.0,0.002924,0.0,0.011696,0.0,0.0,0.008772,0.0,0.002924,0.05848,0.005848,0.049708
Recon_Command,0.0725,0.1725,0.0175,0.1175,0.0275,0.03,0.0,0.0575,0.0,0.005,0.0,0.035,0.34,0.125
Suspicious_Command,0.028027,0.043892,0.012163,0.05394,0.025119,0.006081,0.00661,0.005553,0.0,0.001058,0.000264,0.002909,0.007139,0.807245
